date,race_name,race_number,race_place,rug,dog_name,dog_trainer,time,mgn,split,inRun,wgt,sire,dam,sp
2016-01-01,bulli/2033,1,1,3,zambra-icon,marien-sullivan,22.52,0.00,6.47,111,27.7kg,EL-GRAND-SENOR,CLASSY-ICON,2.70
2016-01-01,bulli/2033,1,2,2,bolero-icon,marien-sullivan,22.58,0.75,6.56,222,27.2kg,EL-GRAND-SENOR,CLASSY-ICON,9.20
2016-01-01,bulli/2033,1,3,1,growler,brian-grant,23.18,9.25,6.75,363,32.0kg,DYNA-TRON,PROWLER,11.10
2016-01-01,bulli/2033,1,4,6,rockabye-cosmo,robert-absalom,23.22,10.00,6.78,574,28.4kg,COSMIC-CHIEF,MISS-PENNYPACKER,28.00
2016-01-01,bulli/2033,1,5,7,celebrity-ink,ronald-hoogenboom,23.24,10.25,6.70,735,32.6kg,MAGIC-SPRITE,PEZ-DISPENSER,11.10
2016-01-01,bulli/2033,1,6,8,worrigee-road,robert-arnold,23.27,10.50,6.67,656,32.6kg,OAKS-ROAD,MAYBE-JECEE,25.20
2016-01-01,bulli/2033,1,7,5,angry-annie,robert-blakely,23.42,12.75,6.85,447,25.5kg,SPRING-GUN,CHANGE-IN-MOOD,24.90
2016-01-01,bulli/2033,1,8,9,smooth-momentum,mark-azzopardi,23.84,18.75,6.84,888,26.3kg,BRETT-LEE,SHANGHAI-ROSE,2.50
2016-01-01,bulli/2033,2,1,3,sofia-the-first,m-bozovitch,26.73,0.00,10.10,311,26.8kg,BARCIA-BALE,MOONSHINE-SHADOW,4.20
2016-01-01,bulli/2033,2,2,8,trending,kenneth-burnett,26.82,1.25,10.25,132,29.2kg,BELLA-INFRARED,EBBY-MISS,2.40
2016-01-01,bulli/2033,2,3,1,kava-fancy,robert-hancock,26.88,2.00,10.25,423,32.7kg,SWIFT-FANCY,CLOSING-CONQUEST,9.30
2016-01-01,bulli/2033,2,4,9,deep-conviction,paul-abdallah,27.00,3.75,10.43,654,33.4kg,DYNA-LACHLAN,INTRIGUING-BOND,25.80
2016-01-01,bulli/2033,2,5,7,undaunted,paul-van-gestel,27.00,3.75,10.35,545,34.9kg,SWIFT-FANCY,GUNDAL-GODDESS,12.10
2016-01-01,bulli/2033,2,6,2,jessica-parker,stuart-hazlett,27.08,5.00,10.44,266,25.9kg,THAI-ALERT,OCEAN-FOAM,21.40
2016-01-01,bulli/2033,2,7,6,cosmic-viper,jason-sparks,27.49,10.75,10.58,877,30.1kg,COSMIC-RUMBLE,MAGGIES-MIRTH,44.80
2016-01-01,bulli/2033,2,8,4,elusive-ned,phillip-cini,27.77,14.75,10.55,788,38.2kg,EL-GRAND-SENOR,FANCY-JAFFA,4.50
2016-01-01,bulli/2033,3,1,2,black-menace,b-nahirny,22.78,0.00,6.60,111,32.2kg,BLACK-FRAMED,ELITE-JUNO,3.10
2016-01-01,bulli/2033,3,2,6,diva's-law,phillip-cini,22.85,1.00,6.71,432,27.6kg,WHERE'S-PEDRO,SPRING-AIM,13.00
2016-01-01,bulli/2033,3,3,5,magic-jenmar,jennifer-brown,23.04,3.75,6.66,223,30.9kg,MAGIC-SPRITE,JENMAR-DOLL,5.30
2016-01-01,bulli/2033,3,4,3,mr.-foo,colin-furner,23.13,5.00,6.85,884,29.2kg,SWIFT-FANCY,MRS-TRICKETT,12.10
2016-01-01,bulli/2033,3,5,7,redemption-road,robert-arnold,23.25,6.50,6.72,545,32.3kg,OAKS-ROAD,MAYBE-JECEE,17.00
2016-01-01,bulli/2033,3,6,4,addicted-to-love,ruth-matic,23.41,9.00,6.78,666,30.0kg,KINLOCH-BRAE,QUEEN-OF-LOVE,2.60
2016-01-01,bulli/2033,3,7,1,cherokee-fiddle,benjamin-mccauley,23.59,11.50,6.84,377,33.6kg,COSMIC-RUMBLE,ANNIE-WONDER,20.90
2016-01-01,bulli/2033,3,8,8,julius,craig-pollard,23.64,12.25,6.76,758,31.1kg,LOCHINVAR-MARLOW,FANTASY-OWL,40.20
2016-01-01,bulli/2033,4,1,8,super-senor,julie-fletcher,26.28,0.00,9.89,111,34.1kg,EL-GRAND-SENOR,LITTLE-GREY,1.80
2016-01-01,bulli/2033,4,2,2,chocolate-fever,mark-swift,26.67,5.50,10.19,622,30.9kg,BUCK-FEVER,FANCY-JAFFA,11.40
2016-01-01,bulli/2033,4,3,7,koroit-opal,paul-van-gestel,26.82,7.75,10.21,533,27.8kg,SWIFT-FANCY,GUNDAL-GODDESS,37.00
2016-01-01,bulli/2033,4,4,3,mortal-sin,peter-schofield,26.85,8.25,10.27,844,33.4kg,FABREGAS,RITZA-JOAN,4.50
2016-01-01,bulli/2033,4,5,1,six-sense,loretta-rice,27.00,10.25,10.48,775,27.9kg,GLEN-GALLON,SMOOTH-NITRO,6.50
2016-01-01,bulli/2033,4,6,4,one-mug-left,justin-king,27.24,13.75,10.38,466,30.9kg,SWIFT-FANCY,MISS-LOLOLA,11.10
2016-01-01,bulli/2033,4,7,6,colonel-parker,stuart-hazlett,27.28,14.25,10.51,287,32.0kg,THAI-ALERT,WHERE'S-THE-CAST,34.40
2016-01-01,bulli/2033,4,8,5,auroras,paul-van-gestel,27.36,15.50,10.34,358,28.2kg,SWIFT-FANCY,GUNDAL-GODDESS,36.30
2016-01-01,bulli/2033,5,1,6,greysynd-ace,wayne-white,34.29,0.00,17.17,7451,29.2kg,BEKIM-BALE,GREYSYND-ZERO,3.50
2016-01-01,bulli/2033,5,2,7,penelope-parker,stuart-hazlett,34.41,1.75,17.01,3112,27.6kg,THAI-ALERT,WHERE'S-THE-CAST,42.50
2016-01-01,bulli/2033,5,3,4,detroit-lion,mark-swift,34.42,1.75,17.23,6563,30.3kg,BIT-CHILI,ACTIVITY,2.60
2016-01-01,bulli/2033,5,4,1,marble-gem,subawa-ngurah,34.58,4.25,17.37,4774,30.5kg,COSMIC-CHIEF,GEMBAZ,6.40
2016-01-01,bulli/2033,5,5,2,slight-chance,ronald-webb,34.62,4.75,17.17,2645,26.0kg,SPRING-GUN,MAURMAREE,18.10
2016-01-01,bulli/2033,5,6,5,swingfire,raymond-plimmer,34.70,5.75,17.13,5336,25.7kg,PREMIER-FANTASY,BUNNY'S-REWARD,26.30
2016-01-01,bulli/2033,5,7,3,stilton-combat,warren-bolwell,34.99,10.00,17.08,1227,30.9kg,COSMIC-RUMBLE,DYNAMIC-SHIRAZ,4.10
2016-01-01,bulli/2033,6,1,4,docker,michael-hardman,28.86,0.00,12.35,2111,33.8kg,WANDY-NEG,SHELLY-RELTUB,8.20
2016-01-01,bulli/2033,6,2,6,hot-gold,shayne-fleming,29.02,2.25,12.48,1222,29.2kg,VAPOUR-WHIRL,MOLLY'S-GOLD,4.80
2016-01-01,bulli/2033,6,3,3,glen-eric,loretta-rice,29.33,6.50,12.76,6653,34.8kg,GLEN-GALLON,SMOOTH-NITRO,3.90
2016-01-01,bulli/2033,6,4,2,messina-special,cheryl-betts,29.52,9.25,12.60,3334,32.0kg,BIT-CHILI,ANOTHER-JILL,11.90
2016-01-01,bulli/2033,6,5,5,my-terms,lynn-maney,29.52,9.25,12.62,5445,32.9kg,PRIMO-UNO,ANN'S-REGRET,7.10
2016-01-01,bulli/2033,6,6,1,master-grey,annette-fleming,29.63,11.00,12.79,4566,33.5kg,COSMIC-RUMBLE,PORT-JESS,3.10
2016-01-01,bulli/2033,6,7,8,bekim-maxim,jason-sparks,29.81,13.50,12.95,7777,31.6kg,BEKIM-BALE,SASSY-GUESS,36.80
2016-01-01,bulli/2033,6,8,7,luck-box-jono,peter-frendo,30.16,18.50,12.98,8888,32.0kg,HURRICANE-LUKE,STARSHOT,51.50
2016-01-01,bulli/2033,7,1,1,natahli-dedee,loretta-rice,26.31,0.00,9.96,311,28.7kg,GLEN-GALLON,SMOOTH-NITRO,3.00
2016-01-01,bulli/2033,7,2,6,black-bear-lee,ruth-matic,26.34,0.50,9.99,232,35.8kg,BRETT-LEE,PAUA-OF-LOVE,1.90
2016-01-01,bulli/2033,7,3,3,sleek-master,david-murray,26.47,2.25,10.04,643,31.5kg,SWIFT-FANCY,LAGOON-HOLLY,9.40
2016-01-01,bulli/2033,7,4,2,duane-eddy,michael-hardman,26.66,5.00,10.15,774,37.3kg,KNOCKA-NORRIS,TIME-AND-MONEY,12.90
2016-01-01,bulli/2033,7,5,5,myrniong-belle,mario-azzopardi,26.67,5.25,9.99,125,30.0kg,BRETT-LEE,SWEET-FANCY,24.80
2016-01-01,bulli/2033,7,6,7,beau-lightning,david-ruse,26.82,7.25,10.06,556,33.9kg,SPRING-GUN,CHEAP-CHLOE,45.70
2016-01-01,bulli/2033,7,7,4,spring-murder,arrol-glynn,27.13,11.75,10.14,467,34.4kg,SPRING-GUN,MURDER-STORY,17.90
2016-01-01,bulli/2033,7,8,9,permanent-guest,stuart-hazlett,27.24,13.25,10.51,888,32.3kg,RAPID-JOURNEY,SARAH-DEAN,52.90
2016-01-01,bulli/2033,8,1,8,what-will-do,vincent-spiteri,22.50,0.00,6.57,211,32.6kg,SMOOTH-FANCY,SMART-ASSASSIN,4.90
2016-01-01,bulli/2033,8,2,1,restless-heart,benjamin-mccauley,22.84,4.75,6.69,132,28.3kg,LOCHINVAR-MARLOW,TRACEY-GRIMJAW,20.50
2016-01-01,bulli/2033,8,2,7,fancy-more,paul-steedman,22.84,4.75,6.66,323,33.5kg,SWIFT-FANCY,TOPAZ-SIYAN,9.20
2016-01-01,bulli/2033,8,4,4,midnight-benz,mario-azzopardi,23.38,12.50,6.90,554,33.8kg,WESTMEAD-OSPREY,MIDNIGHT-LEE,12.60
2016-01-01,bulli/2033,8,5,3,bank-rogue,kristy-sultana,23.46,13.75,7.05,675,33.0kg,MAGIC-SPRITE,JAYLA-ROGUE,1.70
2016-01-01,bulli/2033,8,6,6,iron-mountain,lynn-maney,23.52,14.50,6.94,766,32.5kg,PREMIER-FANTASY,CLOSE-EMBRACE,10.30
2016-01-01,bulli/2033,8,7,5,enter-the-foo,ronald-patterson,23.80,18.50,7.12,887,32.3kg,HEAD-BOUND,IBROX-LAURA,27.70
2016-01-01,bulli/2033,8,8,10,highland-fling,david-ruse,24.14,23.50,6.87,448,28.9kg,HURRICANE-LUKE,ENDERBY-GOLD,30.20
2016-01-01,bulli/2033,9,1,7,magic-lobo,elizabeth-scott,22.81,0.00,6.64,321,32.2kg,MAGIC-SPRITE,KALIMBA,9.50
2016-01-01,bulli/2033,9,2,4,tin-pan-alley,robert-arnold,23.14,4.75,6.80,772,29.5kg,OAKS-ROAD,MAYBE-JECEE,9.80
2016-01-01,bulli/2033,9,3,2,country-el,barry-burnet,23.21,5.75,6.66,233,27.2kg,EL-GALO,COUNTRY-DAWN,37.40
2016-01-01,bulli/2033,9,4,5,bells-icon,robert-sullivan,23.27,6.50,6.80,664,30.2kg,SURF-LORIAN,BLUERAY-GIRL,5.30
2016-01-01,bulli/2033,9,5,1,richie-boy,bruce-lloyd,23.29,6.75,6.75,455,34.9kg,VELOCETTE,ELITE-JEWELS,5.60
2016-01-01,bulli/2033,9,6,8,teahupoo-hero,jennifer-brown,23.38,8.25,6.70,846,34.8kg,HURRICANE-LUKE,LAUREN-BELLE,2.10
2016-01-01,bulli/2033,9,7,6,winsome-dora,paul-van-gestel,23.39,8.25,6.62,117,26.2kg,EL-GRAND-SENOR,IRISH-BLOSSOM,13.10
2016-01-01,bulli/2033,9,8,3,dynamite-mouse,jason-sparks,23.42,8.75,6.83,588,27.8kg,DYNA-TRON,PEPPER-SPICE,32.90
2016-01-01,bulli/2033,10,1,2,king-richard,scott-austen,22.67,0.00,6.65,111,33.8kg,BRETT-LEE,DAYDREAM,2.60
2016-01-01,bulli/2033,10,2,6,tonnatron,l-scott,22.86,2.50,6.72,232,34.1kg,DYNA-TRON,BONNIE-IN-FLIGHT,6.80
2016-01-01,bulli/2033,10,3,1,master-lachie,lynn-maney,23.03,5.25,6.72,323,30.8kg,BEKIM-BALE,MISS-KEYS,6.90
2016-01-01,bulli/2033,10,4,3,jenmar-blue,jennifer-brown,23.24,8.25,6.79,554,35.0kg,KELSOS-FUSILEER,JENMAR-GRACE,3.00
2016-01-01,bulli/2033,10,5,9,fantasy-marlow,craig-pollard,23.30,9.00,6.79,445,30.5kg,LOCHINVAR-MARLOW,FANTASY-OWL,46.40
2016-01-01,bulli/2033,10,6,7,ludwig-bale,n-waygood,23.33,9.25,6.84,766,34.4kg,DYNA-LACHLAN,ASHBY-BALE,41.10
2016-01-01,bulli/2033,10,7,4,gas-metre,peter-mccann,23.40,10.25,6.90,687,34.3kg,FABREGAS,SOME-FOLKS,9.90
2016-01-01,bulli/2033,10,8,8,harman,raymond-plimmer,23.67,14.25,6.90,878,24.7kg,EL-GRAND-SENOR,READY-TO-ROLE,44.70
2016-01-01,cambridge/2035,1,1,7,stinger,karen-m-walsh,25.57,0.00,5.85,111,35.0kg,BYE-BYE-BUCKS,FLAMENCO,1.40
2016-01-01,cambridge/2035,1,2,1,forever-iris,shirley-l-ross,26.40,13.20,0.00,442,31.2kg,FEAR-ZAFONIC,SOPHIE'S-BELLE,9.90
2016-01-01,cambridge/2035,1,3,6,know-energy,garry-a-cleeve,26.53,15.20,0.00,323,29.7kg,YELLA-MUSTARD,KNOW-WHICH,5.10
2016-01-01,cambridge/2035,1,4,8,winsome-dan,denis-schofield,26.64,17.00,0.00,234,37.1kg,EL-GRAND-SENOR,RAMBLIN'-RUBY,5.30
2016-01-01,cambridge/2035,2,1,3,willis,raymond-h-adcock,38.21,0.00,0.00,43221,37.5kg,DYNA-LACHLAN,DELUSIONIST,3.10
2016-01-01,cambridge/2035,2,2,6,rolex-roo,lisa-j-cole,38.45,3.80,3.21,11112,27.7kg,FEAR-ZAFONIC,NICELY-DONE,2.00
2016-01-01,cambridge/2035,2,3,5,matalino-twist,peter-g-lowen,38.60,6.20,0.00,22333,28.1kg,VELOCETTE,VALLEY-TWIST,61.40
2016-01-01,cambridge/2035,2,4,7,thrilling-evie,r-udy-&-l-bliek,39.01,12.70,0.00,55444,31.0kg,LILLI-PILLI-LAD,THRILLING-ANGEL,8.20
